,PERMNO,date,TICKER,month,mvel1,beta,betasq,chmom,dolvol,idiovol,indmom,mom1m,mom6m,mom12m,mom36m,pricedelay,turn,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,ms,baspread,ill,maxret,retvol,std_dolvol,std_turn,zerotrade,sic2,year,return
129783,12008,2007-10-31,DY,10,1255983.1156,1.243239674,1.545644887,-0.036728477999999995,15.427877495999999,0.046077207,0.33131195410000003,0.0372502021,0.1331543048,0.3734884119,-0.242691066,0.0269204758,2.8776695087,0.1212844084,-0.12128440800000001,23.0,0.0096080286,0.4607749849,-0.880369952,0.2956025021,6.9900205369,0.13998441960000002,0.08807361609999999,-0.001431687,-0.16889389100000002,0.0091364136,0.0199780201,0.0091372084,0.0,2.5431418502,0.3786538856,0.0,0.0,0.0,-0.291655299,0.0248833208,0.26953003329999997,0.5924418929,0.1280442251,0.23297727969999998,0.1366067088,0.058025660599999994,0.4113823372,1.0460316272,-543.6500517000002,0.24004430370000002,0.0030016006,-1.336749074,-0.11693477699999999,-0.047981254,-0.10335050000000001,-0.220898503,-0.150466799,0.1269041356,0.0232367937,-0.126653963,-4.625632563,4.0,1.7602107448,0.0,0.0194412301,0.0161778364,0.0361498493,0.0764499877,37.541183805,11.695511099,6.968217771900001,0.4717134757,0.0,0.0375481312,0.0,1.4011212112,0.359323593,1.6235170811000001,4.8701846188,0.0194229978,0.0015250092000000002,0.0215597755,0.0681901425,0.0,0.007414934399999998,0.0129079396,0.0140820489,0.0230501875,0.0798293279,0.078783941,5.0,0.0330472694,1.1836025e-09,0.0364145972,0.021624924900000002,0.3283331551,4.0376727725,1.0015704999999999e-08,16.0,2007,-0.08088646325223392
2290338,92672,2008-06-30,WES,6,397377.0,0.6354455201,0.403791009,0.07000784830000001,14.50256405,0.037302203799999996,-0.086679533,-0.03740134199999999,0.13690185565,0.22580211645000006,0.6460963883499999,0.062370961100000004,0.6039267166,0.04615851155,-0.046158511500000006,5.0,-0.32728390100000004,0.5004043066,-0.590687883,0.2730850814,10.628807152,0.0923537625,-0.127017046,0.008058439799999999,0.1459817952,-0.059851215,0.0,-0.26268803,0.0,1.8839346030000002,0.0535498584,0.0,0.0,0.041325673,0.3162028105,0.038423501299999996,0.1456032591,1.0842556424,0.26555077215,0.0400620523,0.013736263700000001,0.27984147275000004,0.2705837197,0.32197333275,-537.7214094,0.153611503,0.00022388355,0.10193000740000001,0.0770430473,-0.0655015555,-0.02597564155,0.06733854445000001,-0.03717543954999997,-0.255406445,0.006436454449999999,-0.414457745,-0.6368042375,4.5,1.8613342636,0.0,0.0194412301,0.0161778364,0.2381805158,0.0699999385,9.3571128325,407.69930341,21.918769675,0.0,0.0,0.23527873850000003,0.0,0.1999118548,0.417123969,-0.6316461,-0.20785542350000002,0.01925872965,0.0001686076,-0.055141438200000004,0.01059610465,1.5,0.02211363945,0.0084554543,0.0360307827,0.01018354785,0.1645203988,0.2140915971,5.0,0.0197694435,2.3181277e-09,0.0176829826,0.0102029532,1.0583863401,84.023789733,5.3580555e-09,13.0,2008,0.1982338384588469
708604,59871,2005-04-29,ORBT,4,31070.719482,1.5983403584,2.5546919014,0.5194577412,9.53166269,0.0747908435,0.06530463759999999,0.0528735705,0.3181818116,0.14473683199999998,1.272727306,0.022618566899999998,0.7005565494,0.1510430622,0.1510430622,25.0,-0.020182493,0.5027576197,-1.744595049,0.4562483275,8.8110328638,-0.016690856,-0.035109071,-0.047550353,0.3049242424,-0.152502463,-0.002449761,-0.160345395,0.0,5.3148059414999995,0.4695121951,0.0,0.0,0.0,0.2582637123,0.0787614901,0.5832817816,-0.452380952,0.0037511962,0.0543833467,0.051546391799999994,-0.000695948,0.13551040150000002,-0.400599187,-1810.162771,0.143860662,0.0232602832,3.6323467813,0.8501157834999999,0.4021049115,0.068975291,0.9888474257,0.0310961252,-0.90329451,-0.039236485,0.031236732200000002,1.2119164619,6.0,1.9238140872,0.0,0.0477503628,0.05758795730000001,0.0021857923000000003,0.1067174459,20.116197183,2.4217888936,6.5541108987,1.3666666666999998,1.0,0.026594788900000003,0.0,0.8291727140999999,0.5063733798,-0.7824493109999999,1.6336089344,0.13545161949999998,0.0,0.0029060713,-0.066537361,0.0,0.029920259700000007,0.0208456374,0.038626218500000004,-0.001493443,0.1394880234,0.1528396122,3.0,0.030089531699999998,3.3627313e-07,0.0664376765,0.0191753999,0.6780201934000001,1.1693969759,5.0898769e-08,38.0,2005,0.08473440528770793
252535,14610,2020-11-30,INPX,11,42681.58959700001,1.3298845353,1.7685928773,0.6247965563,13.021619765,0.2621502986,0.08485616289999999,-0.081818208,-0.035087689,-0.747995435,-0.959426344,1.1427570311,11.092497375999999,0.5941685026,-0.54995076,7.0,-0.7424043359999999,0.4389213948,-0.229124052,-2.593719507,0.0804782429,-0.513425635,-0.5642231320000001,0.37767817,1.0762653506,0.0820661263,-0.010060784,-0.156881196,0.0,0.49235807859999997,2.7468208092000004,0.0,1.0,0.0,0.2585161964,-1.6363666909999999,-0.812728938,-0.118811881,0.6877264425,0.0461994536,0.5797101449000001,0.0842502874,0.7303497712,1.0570847458,-3097.089689,-2.7912915369999998,0.0059285161,-14.84271141,0.06834074150000001,-0.8840907029999999,-0.406286716,0.20995600820000002,0.9733571825,0.7570217869,-0.187646191,1.3821671991,-0.686240475,4.0,0.46324599710000003,1.0,0.18741359559999998,0.6178384383,0.6073179932,-1.160609398,1.2994431842,15.7525,5.330795262300001,0.0,0.0,0.6775825346,0.0,0.3033375458,0.3222809746,0.2489025741,2.8260307063999996,0.2952526507,-0.004323626,-0.318080814,0.107467534,1.0,-0.290211603,0.1618366739,-1.022583859,0.0524318386,6.0365058725,6.600864892100001,2.0,0.0562907092,1.2096666e-08,0.0925925002,0.033524440499999995,0.8620226679999999,76.9787441,1.7690367e-09,50.0,2020,0.09440968447107476
1579018,83529,1999-05-28,MGAM,5,31683.9375,1.1743000888,1.3789806986000002,0.6459267378,9.9250349803,0.1054153233,-0.206239585,0.3285714388,-0.027777782,-0.37219729,0.251771922,0.6407340562,1.4053078946000002,0.1854519573,-0.185451957,4.0,-0.280844156,0.1507326839,-0.505158506,0.8449593296,-2.570075758,0.38106678850000003,0.3846172996,0.5873635072,0.1302529793,0.16785008350000002,0.1151886121,0.0165836832,0.0,1.9477626651,0.38246439299999996,0.0,0.0,0.0073817762,0.233553912,0.1542512677,0.4431168831,3.6236476043,0.2987046263,0.1173474886,0.3301886792,0.45233766229999994,0.4908184806000001,0.3757563927000001,-355.4647844,0.5685309344,0.0081583378,-0.047409124000000004,-0.171815157,0.0709003005,0.6555277464,-0.333286924,-3.152671394,0.535194464,0.01925861025,-0.635759701,-1.470428894,7.0,1.4482554700999999,0.0,0.09659518525,0.09995808575,0.0,0.20248837079999998,37.499734184,27.836227309,15.162725709000002,1.6327683616,1.0,0.8062327154000001,0.0,4.9121542513,0.5418318378,0.5155434956,0.6845943480500001,0.1800070224,0.015053096100000002,0.06507270185,-0.0262011905,1.5,0.0502744317,0.0380836541,0.06873003705,0.02884717705,0.22333016575,0.2219490573,5.0,0.09973434460000001,3.0202619e-07,0.3088235259,0.08548563810000001,1.0657004540000001,15.008029555999999,1.0787234e-08,39.0,1999,0.16788087263916018
1049665,76888,2016-11-30,AXAS,11,218842.56064,3.1914892676999997,10.185603746,0.1098147025,12.681637224000001,0.0840212536,0.0984746942,-0.041420147000000004,0.111842149,0.0628930554,-0.449827004,-0.036230239,1.4589896956,0.4171594549,-0.417159455,25.0,0.2854822232,0.7504116941,-1.70473923,-0.500577234,-4.729728814,0.0619107655,-0.365985175,-0.11230575400000001,0.0014973584,-0.164922824,0.0,-1.048283021,0.0,0.9317060652,0.1747302502,0.0,0.0,0.0,-0.59292995,-1.127416418,-0.242014516,-0.269898888,-0.19405667,0.036624535800000003,-0.19512195100000002,0.1907767159,1.6270049809,0.0955950873,-4290.248384,-1.267601965,0.0008735139,-0.37691045100000004,0.9709054873,0.2910597387,-1.436451896,0.9709054873,0.034451617199999986,0.0610299988,-0.38008667799999996,-0.068575675,-1.0549138409999999,3.0,0.9317060652,0.0,0.0,0.0,0.2381805158,-0.6082880620000001,18.935028249000002,60.4212824865,7.051335998300001,1.0168350168,1.0,-0.498938524,0.0,0.5946236723,0.4876400669,-0.604519784,0.20708473440000005,0.0022762082,0.0,-1.9358500019999998,-0.036603621,1.0,-0.152610202,0.09010345869999999,-0.48398745,-0.084661948,1.0493543376999999,2.3072962452000003,3.0,0.0505635812,2.1708831000000002e-08,0.0658307299,0.037311941,0.6147875601,3.6475776743,1.497409e-08,13.0,2016,0.25951119548508483
1593661,83688,1997-06-30,REGI,6,681483.0,0.90809072755,0.8624287729500001,-0.71025075,13.767295678,0.08724318435,-0.24385197399999997,0.1386430711,-0.132992321,0.4717134883,-0.699481875,0.37543496785,2.2213271146999998,0.1514543927,-0.01310178,1.0,-1.6849962319999998,0.4519294103,-1.055215941,0.0010511581,20.974053470999998,-0.006075645,-0.019511465,-0.6733504790000001,0.3832844575,1.3602686880000001,0.0,-0.35520352299999997,0.0,5.2684820108,0.14951347310000002,0.0,0.0,0.0,0.6830334575,0.0084985504,1.5206699018,6.14252873585,0.267043225,0.0685572256,2.1677852349,0.1680617503,0.0376669925,1.2193239287,-473.36711529999997,0.1597249519,0.0091515988,2.1076147028,-0.105523577,0.5950888377,0.08320974910000001,-0.105523577,0.0210241748,-0.18377309100000008,0.0199686954,0.0165095163,-0.10530849199999999,4.0,5.2684820108,0.0,0.0194412301,0.0161778364,0.2944759795,0.1693067437,12.088010628,8.182809130199999,4.8509929362,0.8953722334,1.0,1.2307195648,0.0,0.4865461898,0.740547443,1.2207540784,-0.13876661199999998,0.1029017642,-0.006988079,0.011743148200000001,0.0090036448,2.0,0.0790818924,0.04493988255,0.10264340470000001,0.0593918815,0.13118506875,0.11805217455,2.0,0.04724995,1.1493746e-08,0.0850000009,0.04884811730000002,1.5394649384,19.604865773,5.7018895e-09,73.0,1997,-0.047754431295899735
611759,49534,2004-06-30,LIFE,6,280691.76858000003,0.4631422637,0.21450075649999997,-0.094796481,11.551217355,0.0404839663,0.67880763,0.0413932204,0.13199997800000002,0.4417758286,0.48540538990000004,0.031701788700000004,0.3793278653,0.16673513339999999,-0.166735133,20.0,-0.08646528699999999,0.4819107941,-6.09201693,0.7925974595,5.5754541347,0.1480876031,0.2685944279,-0.050206420999999994,0.0264533502,0.0645868793,0.0165316005,-0.011243342,0.0,2.4442556335,0.3171748679,0.0,0.0,0.0,0.2027236683,0.0559353379,0.8180696605,0.7981978206,0.1541248086,0.0414267694,0.0476190476,0.08607568630000001,0.1435673673,-0.158351148,-1444.707579,0.3337616355,0.0135646081,0.0723588724,0.1445928367,0.078148815,0.0559665189,0.11943225800000001,-0.234137869,0.244640124,-0.02416303,-0.177158743,-1.647478475,8.0,2.0410786849,0.0,0.0112971494,0.0156369039,0.1042776326,0.1850540671,9.4901039313,19.242807403,8.3102247547,1.0,1.0,0.0874896437,0.0,0.7224671543000001,0.4768509323,0.1481091623,1.5167323624000002,0.2009299132,0.0047752491,-0.041532629,0.0809634663,2.0,0.0298009612,0.0095450507,0.0394171601,0.0146752423,0.09594924839999999,0.1031439316,6.0,0.0631680184,3.7195690000000005e-08,0.0944803357,0.0328411643,0.6615478238,1.8390706696999999,4.4124177000000005e-08,36.0,2004,0.13703953146708026
1635191,84190,1998-11-30,AMVP,11,7258.125,0.2330028778,0.054290341,-0.106355249,7.882621475800001,0.0512919731,-0.032676374,-0.04109589,-0.017033633,0.0310587212,0.4182686643,0.6116564918,0.3307213181,0.055051319,-0.055051319,2.0,0.0246313673,0.5437272928,-1.077426535,0.11461911529999999,6.8128487705,0.0834322741,0.0266927856,-0.0187076345,0.0332610268,-0.310228813,0.0,-0.49395987399999997,0.0,2.7346938776,0.1503466891,0.0,0.0,0.0995194044,-0.133039863,-0.018926036,0.0473357909,0.10855825175,0.056429593,0.0146895132,1.0,0.0385793019,1.2770342593000001,0.0318593093,-636.0956245,-0.033850494,0.0081583378,-0.3166069045,-0.864499956,0.0250777048,0.2454227675,-0.882045979,0.0210241748,0.8389065817,-0.0018737626500000002,0.0165095163,-5.408333333,6.0,2.7346938776,0.0,0.0,0.0,0.2381805158,0.048947414,25.444444444000002,8.182809130199999,71.971428571,1.0,1.0,1.0055732484,0.0,0.3972890329,0.5441688037,-0.236263257,-0.8385778,0.0102719542,0.0,-0.0010231445,0.0135398973,1.0,0.0001717918,0.0173891948,0.0005641749,0.0121790775,0.1358847574,0.1487722043,3.0,0.0341756026,1.1402e-05,0.09090909359999999,0.0408653839,1.2217309185,1.6379115563999995,6.681818285299999,67.0,1998,-0.10536051565782634
497005,34753,1991-05-31,NCD,5,509004.375,0.5216388389,0.2721070782,0.2057816089,10.550433714,0.0342365362,0.0514503488,-0.017699115,0.0832789816,-0.070195333,-0.020582661000000002,0.2341980875,0.0571532416,0.0477618471,0.0477618471,8.0,-0.168535985,0.7239012387999999,0.0588132024,0.244581625,-0.12554376,-0.020635918,-0.149270555,-0.12066006300000001,0.2868733173,-0.011729415,0.0,-0.047320201,0.0,4.2401652081,0.0692401054,0.0,0.0,0.021937647299999998,0.4508769259000001,0.0343772164,0.09096768300000001,1.2583643843999999,0.1253493696,0.08258965809999999,0.05994550410000001,0.1334997263,0.3815026557,0.1316203977,559.63167905,0.09387123619999999,0.00038042839999999996,-0.37825880799999995,0.3201338361,-0.062748558,0.0007329284,0.3201338361,0.0210241748,0.0518089942,-0.20020583600000005,0.0165095163,1.6002789001,3.0,4.2401652081,0.0,0.0194412301,0.0161778364,0.2381805158,-0.014061842,0.4114042331,8.182809130199999,1.8285041969999998,0.0,0.0,0.0418642813,0.0,0.12799234939999998,0.6239853853,-1.772198809,-0.574534161,0.1945688862,0.0020977214,0.23069003989999998,0.030406101600000002,1.0,0.006985287,0.0018108075,0.0103213122,0.0085707675,0.4364593402000001,0.4578405197,4.0,0.0167479202,7.6826286e-07,0.0272727273,0.0131143571,1.7290381906999999,1.1145585464,2.8636366382,51.0,1991,-0.04609110720026699
