method,year,rmse,s1,s2,oos
OLS,2019,0.17177288955844608,1983.3293061243157,1928.9275977641064,-0.028203084669050638
Ridge,2019,0.1716908842197122,1981.4360531376876,1928.9275977641064,-0.027221579199989465
CART,2019,0.16942889646904907,1929.5700551432242,1928.9275977641064,-0.000333064537965333
RF,2019,0.16940556702266746,1929.038708922332,1928.9275977641064,-5.760255509557055e-05
GBDT,2019,0.17066816905769208,1957.9006252934648,1928.9275977641064,-0.015020277361857515
XGBoost,2019,0.24505498324658687,4036.571626506442,1928.9275977641064,-1.0926506682704868
NN1,2019,0.17268221587680532,2004.3834687625476,1928.9275977641064,-0.03911804211101799
NN2,2019,0.1695194772901681,1931.6337971024318,1928.9275977641064,-0.001402955373474013
NN3,2019,0.16960455977521205,1933.5732727282593,1928.9275977641064,-0.0024084237114643248
NN4,2019,0.16955383166649443,1932.4167961964733,1928.9275977641064,-0.0018088799374385012
New Tree,2019,0.1692849925625034,1926.2936984595194,1928.9275977641064,0.0013654733892759507
